institute_code,institute_name,city,course_code,course_name,category,closing_rank,closing_percentile
01002,Government College of Engineering,Amravati,0100219110,Civil Engineering,GOPENS,34240,88.5013511
01002,Government College of Engineering,Amravati,0100224210,Computer Science and Engineering,GOPENS,7872,97.3911937
01002,Government College of Engineering,Amravati,0100224610,Information Technology,GOPENS,12001,96.0264086
01002,Government College of Engineering,Amravati,0100229310,Electrical Engineering,GOPENS,28736,90.3847828
01002,Government College of Engineering,Amravati,0100237210,Electronics and Telecommunication Engg,GOPENS,17552,94.1713006
01002,Government College of Engineering,Amravati,0100246610,Instrumentation Engineering,GOPENS,40780,86.1227045
01002,Government College of Engineering,Amravati,0100261210,Mechanical Engineering,GOPENS,37888,87.0844527
01012,Government College of Engineering,Yavatmal,0101219110,Civil Engineering,GOPENH,82302,69.8140377
01012,Government College of Engineering,Yavatmal,0101224510,Computer Engineering,GOPENH,37750,87.1298889
01012,Government College of Engineering,Yavatmal,0101229310,Electrical Engineering,GOPENH,72382,74.1162962
01012,Government College of Engineering,Yavatmal,0101237210,Electronics and Telecommunication Engg,GOPENH,60100,79.0646435
01012,Government College of Engineering,Yavatmal,0101261210,Mechanical Engineering,GOPENH,90328,66.1855163
01101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,0110124210,Computer Science and Engineering,GOPENH,18078,93.9958778
01101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,0110124610,Information Technology,GOPENH,21234,92.9153295
01101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,0110135610,Electrical Engg [Electronics and Power],GOPENH,42998,85.3422371
01101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,0110137210,Electronics and Telecommunication Engg,GOPENH,30973,89.4907774
01101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,0110161210,Mechanical Engineering,GOPENH,57808,79.9360013
03012,Veermata Jijabai Technological Institute(VJTI),Mumbai,0301219110,Civil Engineering,GOPENS,4902,98.3309085
03012,Veermata Jijabai Technological Institute(VJTI),Mumbai,0301224510,Computer Engineering,GOPENS,101,99.9641545
